url,pos_score,neg_score,total_score,count,total_score_z,count_z,z_score
간절곶,0.7056833089666906,0.023130579372443512,0.6825527295942472,200,1.0086909798493386,0.6078845477601468,1.6165755276094855
신정시장,0.7006619018842873,0.020555939330404623,0.6801059625538827,200,0.9811598595346437,0.6078845477601468,1.5890444072947905
태화강억새군락지,0.7107538131973411,0.02035731672053483,0.6903964964768062,195,1.0969493576195337,0.46728133051247506,1.5642306881320087
언양자수정동굴나라,0.7000488335150294,0.033445692714032096,0.6666031408009973,200,0.8292255706817142,0.6078845477601468,1.4371101184418609
작천정계곡,0.6819344069389627,0.02365119155907693,0.6582832153798858,200,0.7356094380466328,0.6078845477601468,1.3434939858067796
슬도,0.6884782920626458,0.030817373968762697,0.6576609180938832,200,0.7286073241674571,0.6078845477601468,1.336491871927604
장생포고래문화마을,0.6820278234942816,0.025617705665674294,0.6564101178286073,200,0.7145332697009423,0.6078845477601468,1.3224178174610892
함월루,0.6786941495374776,0.023585114204802568,0.6551090353326751,200,0.699893437569839,0.6078845477601468,1.3077779853299858
태화강생태관,0.6709978499438148,0.02062889711141664,0.6503689528323982,200,0.6465578402433104,0.6078845477601468,1.2544423880034572
강동몽돌해변,0.6818269574828446,0.031735551971134555,0.65009140551171,200,0.6434348667224028,0.6078845477601468,1.2513194144825497
장생포모노레일,0.6742513539339415,0.025384674554297815,0.6488666793796437,200,0.6296541994425935,0.6078845477601468,1.2375387472027404
진하해수욕장,0.670669263950549,0.02743944751220018,0.643229816438349,200,0.5662279928303322,0.6078845477601468,1.174112540590479
수암회수산시장,0.6605624564541265,0.020798962229355858,0.6397634942247706,200,0.5272247970470066,0.6078845477601468,1.1351093448071534
태화강국가정원,0.6698365075793117,0.021548477514452925,0.6482880300648588,196,0.6231432142762305,0.4954019739620094,1.11854518823824
나사리해수욕장,0.6833842955715954,0.03358268212172697,0.6498016134498684,195,0.6401741148857203,0.46728133051247506,1.1074554453981953
정자해수욕장,0.670490804129513,0.03927716399510973,0.6312136401344033,200,0.43102149785595517,0.6078845477601468,1.038906045616102
울산과학관,0.6456301741919015,0.02145193080740379,0.6241782433844977,200,0.3518589330559938,0.6078845477601468,0.9597434808161406
언양알프스시장,0.627040265777379,0.017533026555798192,0.6095072392215808,200,0.18678020913854118,0.6078845477601468,0.794664756898688
태화루,0.6354492335303803,0.02621010247690477,0.6092391310534755,200,0.18376344533892755,0.6078845477601468,0.7916479930990743
