url,pos_score,neg_score,total_score
장생포고래박물관,0.7664254084229469,0.0027872365307606136,0.7636381718921863
장생포고래박물관,0.5933523774147034,0.11451655797039469,0.4788358194443087
장생포고래박물관,0.06536329444497824,0.23819357805574934,-0.1728302836107711
장생포고래박물관,0.5848223995417356,0.008354955432393278,0.5764674441093424
장생포고래박물관,0.12384887493681163,0.20854413099586963,-0.084695256059058
장생포고래박물관,0.7576307021081448,0.026533913589082657,0.7310967885190621
장생포고래박물관,0.6590187847614288,0.03339291835824649,0.6256258664031823
장생포고래박물관,0.7169409990310669,0.00524559187858055,0.7116954071524864
장생포고래박물관,0.7398698106408119,0.03385475377241771,0.7060150568683942
장생포고래박물관,0.8120600059628487,0.003432722781629612,0.808627283181219
장생포고래박물관,0.7675014957785606,0.013612192170694471,0.7538893036078662
장생포고래박물관,0.7613222226500511,0.005660259677097201,0.755661962972954
장생포고래박물관,0.6993479263037443,0.002915080316597596,0.6964328459871467
장생포고래박물관,0.7065337598323822,0.04081240351467083,0.6657213563177113
장생포고래박물관,0.8011921122670174,0.010460938272687296,0.79073117399433
장생포고래박물관,0.7634109631180763,0.003160436125472188,0.7602505269926041
장생포고래박물관,0.7588590607047081,0.009949675528332591,0.7489093851763755
장생포고래박물관,0.5362334698438644,0.0022908387860904136,0.5339426310577741
장생포고래박물관,0.7665138319134712,0.0025955204929535586,0.7639183114205177
장생포고래박물관,0.6217036172747612,0.028953780621911087,0.5927498366528501
장생포고래박물관,0.6515875235199928,0.053198212881882985,0.5983893106381099
장생포고래박물관,0.7325390018522739,0.009657019207952543,0.7228819826443214
장생포고래박물관,0.7762361243367195,0.015189455534952382,0.7610466688017671
장생포고래박물관,0.6760686822235584,0.0317595730884932,0.6443091091350652
장생포고래박물관,0.7102093435823917,0.008067068026866764,0.702142275555525
장생포고래박물관,0.4359996300190687,0.07955230001049737,0.3564473300085713
장생포고래박물관,0.7628022730350494,0.03203249362607797,0.7307697794089715
장생포고래박물관,0.6518418043851852,0.05701180420195063,0.5948300001832346
장생포고래박물관,0.6042174622416496,0.08742688288912177,0.5167905793525278
장생포고래박물관,0.7728189714252949,0.003870362846646458,0.7689486085786484
장생포고래박물관,0.5917947925627232,0.003129949479868325,0.5886648430828548
장생포고래박물관,0.7626918330788612,0.004994754085782915,0.7576970789930784
장생포고래박물관,0.7283277995884418,0.005050713056698441,0.7232770865317434
장생포고래박물관,0.49454256519675255,0.004579575476236641,0.4899629897205159
장생포고래박물관,0.7678113058209419,0.006878553532684842,0.7609327522882571
장생포고래박물관,0.722295731306076,0.0017992408480495214,0.7204964904580266
장생포고래박물관,0.7757160291075706,0.013973072442846993,0.7617429566647237
장생포고래박물관,0.7311834469437599,0.014840880032473554,0.7163425669112864
장생포고래박물관,0.42353080958127975,0.0037756287221175928,0.41975518085916214
장생포고래박물관,0.7123968712985516,0.0148655737672622,0.6975312975312894
장생포고래박물관,0.23949619848281145,0.007063676680748661,0.23243252180206278
장생포고래박물관,0.7040405087172985,0.002889251696372715,0.7011512570209258
장생포고래박물관,0.7688650339841843,0.026261909973497193,0.7426031240106871
장생포고래박물관,0.6090838517993689,0.02903361847468962,0.5800502333246792
장생포고래박물관,0.7313900962471962,0.004579355061287061,0.7268107411859092
장생포고래박물관,0.7637713626027107,0.014208689654090752,0.74956267294862
장생포고래박물관,0.7919646501541138,0.006743556866422295,0.7852210932876915
장생포고래박물관,0.7831376194953918,0.003015015373239294,0.7801226041221525
장생포고래박물관,0.3453931584954262,0.04232175449530284,0.30307140400012333
장생포고래박물관,0.7263790778815746,0.025687736396988233,0.7006913414845864
장생포고래박물관,0.7876229658722878,0.004972813619921605,0.7826501522523661
장생포고래박물관,0.30211565736681223,0.008210911757002275,0.29390474560980995
장생포고래박물관,0.7812384255230427,0.01032097526282693,0.7709174502602157
장생포고래박물관,0.7906986624002457,0.008622577794206639,0.7820760846060391
장생포고래박물관,0.7638755664229393,0.01624215187039226,0.7476334145525471
장생포고래박물관,0.44138192385435104,0.026862922683358194,0.41451900117099283
장생포고래박물관,0.4289608132094145,0.009170467538448671,0.4197903456709658
장생포고래박물관,0.7986450344324112,0.011591199568162363,0.7870538348642488
장생포고래박물관,0.7667898908257484,0.002621915804532667,0.7641679750212158
장생포고래박물관,0.6109463823959231,0.004926386108854786,0.6060199962870684
장생포고래박물관,0.7173578031361103,0.0019902254600310696,0.7153675776760793
장생포고래박물관,0.5931375101208687,0.005809680236658702,0.58732782988421
장생포고래박물관,0.34607841074466705,0.18143699026356142,0.16464142048110564
장생포고래박물관,0.7565650120377541,0.04376401806560656,0.7128009939721475
장생포고래박물관,0.4986223913729191,0.011998675034071008,0.4866237163388481
장생포고래박물관,0.7356431260704994,0.06271529872901738,0.672927827341482
장생포고래박물관,0.6769274845719337,0.010344041790813208,0.6665834427811206
장생포고래박물관,0.5474028252065182,0.0018465744787439084,0.5455562507277743
장생포고래박물관,0.7294718883931637,0.00795090098399669,0.721520987409167
장생포고래박물관,0.8127138465642929,0.006783409478763739,0.8059304370855291
장생포고래박물관,0.10045830288436264,0.03117615160299465,0.06928215128136798
장생포고래박물관,0.7444794997572899,0.023597663237402835,0.720881836519887
장생포고래박물관,0.5976028982549906,0.028541671733061474,0.5690612265219291
장생포고래박물관,0.7295709997415543,0.00945721222087741,0.7201137875206769
장생포고래박물관,0.6843835450708866,0.0019670186098665,0.6824165264610201
장생포고래박물관,0.3848470104858279,0.01290200708899647,0.37194500339683145
장생포고래박물관,0.36268207244575024,0.1752244967967272,0.18745757564902304
