url,pos_score,neg_score,total_score,count,total_score_z,count_z,z_score
간절곶,0.7049093884829583,0.023328921121759157,0.6815804673611991,394,1.0253130341384358,0.9414993916505494,1.0169316698896471
태화강억새군락지,0.7107538131973411,0.02035731672053483,0.6903964964768062,158,1.1224641546389338,-1.0346549734814543,0.906752241826895
장생포고래문화마을,0.6822957974097031,0.024521933273980622,0.6577738641357226,384,0.7629683721214527,0.8577640371958035,0.7724479386288878
일산해수욕장,0.6806509947502234,0.026621435945147064,0.6540295588050763,396,0.7217067730956167,0.9582464625414986,0.745360742040205
함월루,0.6722646924329534,0.024427327011907616,0.6478373654210459,447,0.6534698698679097,1.3852967702607026,0.7266525599071889
강동몽돌해변,0.6804572681776988,0.03199170665725176,0.6484655615204471,390,0.6603924825488082,0.908005249868651,0.6851537592807925
태화강국가정원,0.6691903189105991,0.02166280276456847,0.6475275161460307,384,0.6500553842917783,0.8577640371958035,0.670826249582181
대왕암공원,0.6717150862029527,0.02546939628951924,0.6462456899134335,386,0.6359298802637469,0.8745111080867527,0.6597880030460475
나사리해수욕장,0.6829439922991507,0.03227679404214162,0.6506671982570091,318,0.6846541397061569,0.3051106977944804,0.6466997955149892
울산대공원,0.6671455000654202,0.023196683892919363,0.6439488161725008,396,0.6106187277421714,0.9582464625414986,0.6453815012221041
진하해수욕장,0.668879927416351,0.02784316326743174,0.6410367641489193,392,0.5785284166353437,0.9247523207596002,0.6131508070477694
고래생태체험관,0.6693334500440649,0.029778339713628338,0.6395551103304364,370,0.562200847071783,0.7405345409591592,0.5800342164605206
솔개해수욕장,0.6753897174364991,0.02967478293319117,0.645714934503308,252,0.6300810471746968,-0.2475426416068426,0.5423186782965429
태화강생태관,0.6604778902045736,0.020002692174340257,0.6404751980302333,288,0.5723400548513661,0.05390463443024268,0.5204965128092538
태화강동굴피아,0.6401822898049085,0.031073898644807207,0.6091083911601013,504,0.22668325245249954,1.8625882906527544,0.39027375627252503
정자해수욕장,0.6668241531888877,0.038685896142673704,0.628138257046214,240,0.4363890927539062,-0.3480250669525377,0.35794767678326184
주전몽돌해변,0.6499200184036246,0.0355273167504735,0.6143927016531511,350,0.2849154427890187,0.5730638320496674,0.31373028171508355
울산과학관,0.6456301741919015,0.02145193080740379,0.6241782433844977,200,0.3927504251192968,-0.6829664847715213,0.285178734130215
장생포고래박물관,0.6281367363680952,0.027426845867064828,0.6007098905010304,350,0.1341332235388617,0.5730638320496674,0.17802628438994228
백양사,0.6208456300927566,0.02389441177946925,0.5969512183132875,372,0.0927133042254327,0.7572816118501083,0.15917013498790028
태화루,0.6285408216560344,0.028594507337968228,0.5999463143180661,330,0.12571874568384311,0.40559312314017554,0.15370618342947637
간월재,0.6375481872437283,0.04261067488430263,0.5949375123594257,195,0.0705226118841539,-0.7248341619988943,-0.009013065504150916
울산옹기박물관,0.6110696659175284,0.013711732319563824,0.5973579335979646,137,0.09719523652317391,-1.2104992178364207,-0.03357420891278555
방어진활어센터,0.6099776511243727,0.030039548816446125,0.5799381023079266,127,-0.09476830018530155,-1.2942345722911666,-0.21471492739588804
태화강전망대,0.5848158409569932,0.027840925910506662,0.5569749150464866,258,-0.34781866372848586,-0.19730142893399505,-0.3327669402490368
학성공원,0.557442029437176,0.02719449003197951,0.5302475394051964,274,-0.6423497340708336,-0.0633248618064016,-0.5844472468443904
문수야구장,0.5560097014769935,0.0380365980515092,0.5179731034254842,83,-0.7776119018000243,-1.6626701318920485,-0.8661177248092268
정토사,0.5241047146604924,0.030688829976120276,0.4934158846843721,106,-1.048228217353173,-1.470078816646133,-1.0904132772824688
주전항,0.5182044708098854,0.0428117435929124,0.475392727216973,180,-1.2468403044905652,-0.8504371936810132,-1.20719999340961
약사동제방유적전시관,0.42766949095370155,0.035403784073961386,0.39226570687974016,138,-2.1628857330762163,-1.202125682390946,-2.0668097280076894
해남사,0.385042410924587,0.031839791564038634,0.3532026193605484,127,-2.5933542209785694,-1.2942345722911666,-2.4634422561098295
울산항만선착장,0.37438820777069415,0.041560972825691496,0.33282723494500266,84,-2.817887443435191,-1.654296596446574,-2.7015283587363292
